0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1250740,-29.73%,1154553,95.30,18.67,17.77,4.43,4.93,5.62,20.00,13.48,1.16,4.09,12.32,14.70,18.46,0.12,0.33,0.47,0.78,48.53,2.31,2.52,25.13%,13.66%,17.16%,26.88%,5.36%,5.00%,-,-,3.20%,3.20%
1437609,-13.25%,1332241,108.57,19.96,18.73,5.17,5.63,6.25,22.05,15.13,0.96,4.79,13.75,16.16,20.44,0.11,0.30,0.44,0.76,71.91,2.64,2.81,26.00%,14.02%,17.85%,28.06%,5.01%,4.53%,-,-,2.60%,2.60%
1842067,32.29%,1730926,138.57,24.71,23.98,6.81,7.25,8.02,26.70,18.90,1.25,6.40,18.06,21.01,25.09,0.11,0.29,0.41,0.85,93.26,2.74,2.87,33.28%,15.48%,19.79%,27.91%,4.05%,3.74%,-,-,2.13%,2.13%
1921855,62.14%,1807518,144.33,25.28,26.61,7.46,7.64,8.46,28.68,20.97,1.17,7.02,19.83,22.96,26.97,0.11,0.27,0.43,0.76,107.80,2.79,2.93,31.42%,15.40%,19.53%,26.68%,3.96%,3.49%,-,-,1.53%,1.53%
1779954,78.32%,1671601,133.19,25.21,27.19,7.44,7.28,8.08,27.11,19.91,1.16,6.99,19.62,23.06,25.46,0.11,0.28,0.43,0.75,101.13,2.86,2.98,31.70%,14.61%,18.48%,25.38%,3.97%,3.69%,-,-,1.36%,1.36%
1657280,71.47%,1549960,121.65,26.34,28.69,7.52,6.98,7.76,28.31,20.50,1.47,7.04,20.51,24.74,26.48,0.12,0.30,0.48,0.68,116.89,3.03,3.15,31.70%,12.71%,16.16%,22.41%,3.80%,3.53%,-,-,1.08%,1.08%
1392422,74.30%,1283171,102.75,27.11,29.80,7.08,6.05,6.76,27.44,19.08,1.61,6.52,20.37,25.83,25.29,0.12,0.35,0.56,0.74,119.32,2.95,3.10,27.97%,12.64%,15.94%,18.29%,3.69%,3.64%,-,-,1.47%,1.47%
1185281,28.42%,1079780,87.32,29.43,29.57,6.49,5.33,5.93,27.67,18.20,1.88,5.92,19.67,26.19,25.20,0.13,0.35,0.65,0.64,133.49,2.96,3.07,21.41%,9.70%,12.06%,15.69%,3.40%,3.61%,-,-,1.76%,1.76%
998182,17.99%,894381,73.02,27.95,28.95,5.81,4.69,5.24,29.34,17.55,1.84,5.21,18.60,25.67,26.29,0.13,0.45,0.81,0.56,102.39,3.28,3.41,13.55%,5.78%,7.17%,13.88%,3.58%,3.41%,-,-,1.77%,1.77%
966497,28.68%,866072,70.65,30.65,31.03,5.82,4.66,5.23,31.02,17.47,1.91,5.22,18.81,25.96,27.80,0.08,0.41,0.55,0.60,87.10,3.27,3.41,13.50%,7.26%,9.11%,14.20%,3.26%,3.22%,-,-,1.85%,1.85%
798885,-2.21%,695177,57.89,23.14,22.45,4.79,3.92,4.41,27.49,14.80,1.30,4.17,14.39,19.23,23.93,0.08,0.36,0.58,Upgrade,80.43,3.51,3.66,Upgrade,Upgrade,Upgrade,15.50%,4.32%,3.64%,-,-,1.23%,1.23%
Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,,Upgrade,Upgrade,Upgrade,,,,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade
